,year,MKT,RF,SMB,HML,MKT-RF
0,1999,-0.3668231833095464,0.634537037037037,,,-1.0013602203465835
1,2000,-0.28334331355706677,0.6511805555555555,0.32737957208217844,0.04792794906555245,-0.9345238691126223
2,2001,0.6626390470253444,0.4543055555555555,-0.06268346546869896,1.3784592123566421,0.20833349146978886
3,2002,-0.570358127349167,0.43263888888888885,0.1415410800443651,0.45600176866228226,-1.002997016238056
4,2003,-0.46982340801009503,0.3686805555555555,-0.18476658330866522,0.3266381341778667,-0.8385039635656506
5,2004,0.12003290458507401,0.32666666666666666,-0.34682523648590374,0.4781422978985213,-0.20663376208159265
6,2005,0.29622156411477746,0.3307638888888889,0.6304131097052503,-0.3544509207881327,-0.034542324774111455
7,2006,-0.593057218829461,0.3894444444444444,-0.009973886355623442,0.309493969856872,-0.9825016632739054
8,2007,1.3370577460074116,0.4346527777777778,-0.3282071656002369,-0.4331363186302315,0.9024049682296338
9,2008,-0.10150094309265578,0.44375000000000003,-0.0012498288527326706,0.05549034664131018,-0.5452509430926558
10,2009,-0.012315298015874488,0.24805555555555556,0.45479209826654143,-0.026192328936306963,-0.26037085357143
11,2010,0.12109341421711213,0.2523611111111111,-0.08051674628083286,0.12609713917212567,-0.13126769689399898
12,2011,-0.23003456197100167,0.2960416666666667,0.2378959643099917,0.041470950870306035,-0.5260762286376683
13,2012,-0.05185961765156877,0.26180555555555557,0.12636805806540105,-0.18672207119370784,-0.31366517320712434
14,2013,-0.06913302935740245,0.22143055555555557,0.07041704499822757,0.15137070427706323,-0.29056358491295803
15,2014,-0.061536283115167206,0.20385416666666667,0.22635618712256822,0.17676168404056966,-0.2653904497818339
16,2015,0.11167049982752666,0.14209027777777777,0.5365397410152715,-0.5502026097528087,-0.03041977795025111
17,2016,-0.0003457359455679632,0.11958333333333333,0.08800500285907142,0.04281758912938698,-0.11992906927890129
18,2017,0.1835814467439258,0.12868055555555555,-0.18010036909774974,-0.12089116159866808,0.05490089118837024
19,2018,-0.11313693024820398,0.15527083333333333,0.18220766893574952,-0.30615238567435554,-0.2684077635815373
20,2019,0.11454332178235326,0.12934722222222222,0.038436888879287354,-0.111692288053647,-0.01480390043986897
21,2020,0.3856290484378837,0.06924999999999999,0.0673576276810593,-0.2879351695657075,0.3163790484378837
22,2021,0.08738938738784584,0.07697916666666667,0.08037424038773137,0.07700614804790545,0.01041022072117917
23,2022,-0.17436809669589842,0.21834722222222222,-0.02708206758813575,0.11958425675191316,-0.3927153189181206
24,2023,0.2509606628259452,0.29554861111111114,-0.16723182334979456,-0.13009298653722187,-0.044587948285165935
25,2024,-0.03705324816916246,0.2622222222222222,-0.14871794969699165,0.025913769742447947,-0.29927547039138463
