,Date,SMB,HML,RF,mkt_ret,MKT-RF
0,2000-05-31,-3.3022075495288696,8.63111309982403,0.6974999999999999,-14.956793179041693,-15.654293179041693
1,2000-06-30,-5.378240783292757,0.17289091961555947,0.69,16.548474976728343,15.858474976728344
2,2000-07-31,3.9976436290738357,6.98099793218983,0.6333333333333333,-1.9041276891300734,-2.5374610224634067
3,2000-08-31,1.6395187583082835,-9.947852616625488,0.6025,8.678950286318072,8.076450286318071
4,2000-09-30,11.845115525931934,3.914221890415109,0.6083333333333333,-22.498875100161033,-23.107208433494367
5,2000-10-31,2.138238090030301,-7.760589865517395,0.5958333333333333,-15.358067535140373,-15.953900868473706
6,2000-11-30,-0.23320192254400463,3.2792272362364905,0.5825,-4.005128658482667,-4.587628658482666
7,2000-12-31,-3.5524808076949057,-1.2278857776922676,0.5599999999999999,-22.57127271717021,-23.13127271717021
8,2001-01-31,-9.293037544447307,1.4561823050962488,0.5041666666666667,32.256253975875175,31.75208730920851
9,2001-02-28,6.382504103613837,14.149449341812435,0.4608333333333334,2.316867611535237,1.8560342782019035
10,2001-03-31,-0.27031734909602356,1.971396021095476,0.48500000000000004,-6.681067555224224,-7.166067555224224
11,2001-04-30,-2.9390210381343107,-1.1277093253139077,0.5175,6.163427821037348,5.645927821037348
12,2001-05-31,2.128860325370857,-1.6298963584267891,0.5083333333333333,-9.325503872575993,-9.833837205909326
13,2001-06-30,1.3796141206866843,1.677972419292979,0.48333333333333334,-3.0624764998706584,-3.545809833203992
14,2001-07-31,3.9423481061746957,-0.7581740658068297,0.455,-11.916914850759392,-12.371914850759392
15,2001-08-31,3.747955974132146,2.572063032252379,0.42083333333333334,-20.009616267551284,-20.430449600884618
16,2001-09-30,-2.241386728088166,-1.3737500816878097,0.3958333333333333,0.7054734535828064,0.3096401202494731
17,2001-10-31,0.48234889918119883,-6.7821346357905625,0.36833333333333335,24.295828998396644,23.92749566506331
18,2001-11-30,0.950180829366758,5.771984420503513,0.4066666666666667,-12.18459344974836,-12.591260116415027
19,2001-12-31,-2.9241789154695663,6.455570415337977,0.4458333333333333,18.36170719121509,17.915873857881756
20,2002-01-31,-3.7184918599812544,6.6286044602101235,0.43583333333333335,9.830934186211824,9.39510085287849
21,2002-02-28,3.6715383832252595,10.265548739385935,0.4141666666666666,-19.356209640740758,-19.770376307407425
22,2002-03-31,5.883886572318804,-3.737126178829884,0.4383333333333333,8.270970661545336,7.8326373282120025
23,2002-04-30,-1.172680221351687,1.3100503218156874,0.45166666666666666,-7.325035555667409,-7.776702222334075
24,2002-05-31,5.958621996417527,-3.3280325258405483,0.45166666666666666,-14.647697795866215,-15.099364462532881
25,2002-06-30,-3.9792915074269164,4.701818904647054,0.4483333333333333,-16.639622295222445,-17.08795562855578
26,2002-07-31,1.9681912575182094,-2.795208946632882,0.445,-7.988362483681818,-8.433362483681817
27,2002-08-31,4.354352110772775,2.0205148725507804,0.42,0.9792498520071518,0.5592498520071518
28,2002-09-30,4.681945611479378,2.418842193535111,0.4191666666666667,-25.698134274868004,-26.11730094153467
29,2002-10-31,-3.4823355079614435,0.8048284598672666,0.4283333333333333,8.064908324287392,7.636574990954059
30,2002-11-30,-8.561014508507514,-0.6522920231980525,0.42,27.506670097358572,27.08667009735857
31,2002-12-31,2.2741768610036672,3.3425611124250416,0.4191666666666667,-16.12678060429552,-16.545947270962184
32,2003-01-31,0.9441577791824782,0.02906499214648761,0.39916666666666667,-9.367567207356197,-9.766733874022863
33,2003-02-28,-1.1450081262528804,-1.959872134680335,0.3858333333333333,4.193848723955839,3.808015390622506
34,2003-03-31,-6.513028576194346,-2.6708385450409438,0.3925,19.047352168720618,18.65485216872062
35,2003-04-30,0.47509371489518415,7.372082994945884,0.3833333333333333,-13.482515596847328,-13.865848930180661
36,2003-05-31,-4.918501797698141,-2.0753706843314177,0.35833333333333334,1.6790712978102276,1.3207379644768942
37,2003-06-30,5.176499933136585,-1.1558949684102044,0.3575,13.600285950627537,13.242785950627537
38,2003-07-31,0.30575803996093526,0.9309111088764146,0.3558333333333333,-12.340637052773731,-12.696470386107064
39,2003-08-31,-6.92425842013925,8.621580328259096,0.3466666666666667,-10.742166749366335,-11.088833416033001
40,2003-09-30,0.8207303716815932,-1.609974079688917,0.34,-2.6635239590991953,-3.003523959099195
41,2003-10-31,-8.004444380566213,10.868625091845615,0.3425,-8.65637238631975,-8.99887238631975
42,2003-11-30,-6.687455863792853,8.184443324183182,0.3725,-8.463407365783748,-8.835907365783749
43,2003-12-31,-3.8388014425275907,4.602237843587625,0.38999999999999996,-18.044263870183446,-18.434263870183447
44,2004-01-31,-5.224131981044238,2.3815872931462962,0.3833333333333333,9.022795622210957,8.639462288877624
45,2004-02-29,-2.1274307224906437,5.470433155896979,0.36916666666666664,-30.42801233061543,-30.797178997282096
46,2004-03-31,1.2743765708265573,1.6560385166838574,0.355,-1.414855259853958,-1.769855259853958
